STATE,Commodity,Variety,Market_Name,month,day,year,Min_Price,Max_Price,price_range,price_center,prev_price,avg_price_7,Modal_Price
Uttar Pradesh,Onion,Red,Achnera,1.0,9.0,2023.0,1700.0,1780.0,80.0,1740.0,1350.0,1545.0,1740.0
Uttar Pradesh,Onion,Red,Achnera,1.0,10.0,2023.0,1860.0,1940.0,80.0,1900.0,1740.0,1663.3333333333333,1900.0
Uttar Pradesh,Onion,Red,Achnera,1.0,11.0,2023.0,3650.0,3750.0,100.0,3700.0,1900.0,2172.5,3700.0
Uttar Pradesh,Onion,Red,Achnera,1.0,12.0,2023.0,3280.0,3340.0,60.0,3310.0,3700.0,2400.0,3310.0
Uttar Pradesh,Onion,Red,Achnera,2.0,8.0,2023.0,1310.0,1370.0,60.0,1340.0,3310.0,2223.3333333333335,1340.0
Uttar Pradesh,Onion,Red,Achnera,2.0,9.0,2023.0,1720.0,1780.0,60.0,1750.0,1340.0,2155.714285714286,1750.0
Uttar Pradesh,Onion,Red,Achnera,2.0,10.0,2023.0,1880.0,1960.0,80.0,1920.0,1750.0,2237.1428571428573,1920.0
Uttar Pradesh,Onion,Red,Achnera,2.0,11.0,2023.0,3760.0,3840.0,80.0,3800.0,1920.0,2531.4285714285716,3800.0
Uttar Pradesh,Onion,Red,Achnera,2.0,12.0,2023.0,3240.0,3320.0,80.0,3280.0,3800.0,2728.5714285714284,3280.0
Uttar Pradesh,Onion,Red,Achnera,3.0,8.0,2023.0,1360.0,1440.0,80.0,1400.0,3280.0,2400.0,1400.0
Uttar Pradesh,Onion,Red,Achnera,3.0,9.0,2023.0,1730.0,1790.0,60.0,1760.0,1400.0,2178.5714285714284,1760.0
Uttar Pradesh,Onion,Red,Achnera,3.0,10.0,2023.0,1890.0,1950.0,60.0,1920.0,1760.0,2261.4285714285716,1920.0
Uttar Pradesh,Onion,Red,Achnera,3.0,11.0,2023.0,3740.0,3820.0,80.0,3780.0,1920.0,2551.4285714285716,3780.0
Uttar Pradesh,Onion,Red,Achnera,3.0,12.0,2023.0,3180.0,3220.0,40.0,3200.0,3780.0,2734.285714285714,3200.0
