Produce_Type,Temperature_C,Humidity_Percent,Days_Since_Harvest,Remaining_Shelf_Life_Days
Cabbage,2,95,7,15
Brinjal,25,71,15,1
Cauliflower,7,93,3,9
Cucumber,19,90,1,5
Potato,16,55,11,11
Carrot,7,88,19,35
Capsicum,14,76,16,1
Brinjal,12,60,16,1
Tomato,16,71,7,1
Cabbage,6,90,10,12
Cucumber,15,95,2,13
Carrot,5,90,19,9
Capsicum,18,77,4,16
Potato,16,58,13,2
Carrot,3,88,1,33
Spinach,5,91,18,1
Cauliflower,0,94,17,1
Spinach,1,95,6,3
Cabbage,3,88,3,18
Carrot,7,90,17,35
Cauliflower,10,92,14,4
Onion,15,63,15,8
Potato,10,68,16,15
Brinjal,17,60,17,1
Cauliflower,10,94,4,10
Brinjal,20,63,1,9
Spinach,5,97,9,1
Tomato,21,74,5,3
Brinjal,17,68,11,2
Brinjal,11,72,9,3
Capsicum,8,85,9,11
Onion,28,67,17,1
Cauliflower,2,94,19,8
Potato,12,68,14,34
Potato,10,61,17,37
Brinjal,12,60,2,6
Cabbage,1,94,13,12
Capsicum,11,81,19,1
Potato,14,40,10,13
Onion,26,63,15,22
Carrot,6,88,10,25
Spinach,2,92,12,1
Spinach,4,99,18,1
Spinach,4,91,1,13
Spinach,0,97,15,1
Capsicum,20,70,18,1
Tomato,23,79,4,1
Brinjal,19,65,7,2
Potato,13,47,12,41
Cauliflower,4,91,13,12
Onion,15,57,19,16
Potato,14,60,12,12
Potato,11,53,20,35
Cauliflower,10,86,1,11
Cauliflower,2,86,10,7
Cabbage,7,91,12,27
Carrot,7,93,13,14
Tomato,18,79,14,1
Potato,12,62,14,16
Onion,16,65,12,12
Spinach,0,95,7,6
Capsicum,14,78,1,17
Cucumber,20,85,4,9
Cucumber,19,83,17,1
Carrot,10,94,3,30
Potato,18,70,16,9
Spinach,2,98,15,1
Tomato,25,64,14,1
Spinach,5,90,18,1
Onion,29,55,11,21
Brinjal,16,76,17,1
Carrot,7,93,7,28
Potato,15,52,11,38
Onion,25,55,3,37
Capsicum,18,80,18,1
Cauliflower,7,91,5,14
Tomato,25,58,3,7
Cabbage,10,87,7,18
Cabbage,5,94,1,27
Spinach,5,98,6,3
Cabbage,9,94,17,17
Potato,10,49,4,17
Capsicum,10,69,17,1
Cauliflower,0,85,20,1
Cabbage,1,86,2,31
Brinjal,15,65,20,1
Brinjal,12,79,18,1
Cucumber,10,87,5,10
Cauliflower,9,92,15,12
Cabbage,5,85,10,36
Carrot,6,85,7,26
Spinach,5,91,17,1
Spinach,1,90,8,5
Cabbage,4,92,4,24
Potato,14,44,8,43
Brinjal,12,66,5,2
Potato,19,46,1,26
Tomato,29,58,8,1
Brinjal,16,66,12,1
Potato,12,70,11,6
Spinach,1,91,12,1
Capsicum,20,73,12,3
Cucumber,12,89,3,9
Spinach,0,93,8,1
Onion,17,59,5,27
Cabbage,7,95,20,2
Potato,18,41,6,24
Cucumber,20,81,19,1
Cauliflower,8,85,8,21
Cauliflower,10,85,17,7
Tomato,22,53,9,1
Carrot,7,94,11,34
Spinach,1,90,4,4
Brinjal,18,78,15,1
Brinjal,18,75,19,1
Cucumber,20,94,15,1
Capsicum,17,66,15,1
Capsicum,9,65,20,1
Capsicum,8,80,16,1
Spinach,2,91,5,2
Carrot,3,87,15,42
Cabbage,4,95,9,18
Capsicum,7,76,2,6
Spinach,5,93,8,1
Cauliflower,4,90,15,6
Cucumber,20,91,14,1
Cauliflower,2,85,9,14
Potato,12,64,9,42
Brinjal,17,63,1,7
Spinach,3,92,5,4
Spinach,2,100,5,8
Spinach,4,94,11,2
Carrot,1,93,8,23
Cucumber,20,81,12,3
Cauliflower,0,92,9,2
Cauliflower,9,93,6,15
Carrot,8,86,3,39
Capsicum,17,66,8,7
Cucumber,10,80,16,1
Tomato,16,71,2,2
Cauliflower,1,94,16,13
Onion,20,47,11,13
Potato,16,65,18,12
Onion,29,61,16,16
Tomato,16,62,9,1
Potato,20,52,8,12
Potato,10,70,4,28
Cabbage,3,90,6,26
Cucumber,10,85,10,5
Spinach,4,96,5,2
Spinach,4,92,6,1
Onion,21,60,9,8
Brinjal,13,61,7,1
Tomato,15,72,19,1
Capsicum,18,72,3,10
Capsicum,12,69,2,15
Tomato,25,63,8,1
Cucumber,10,93,12,2
Carrot,1,88,14,9
Carrot,3,86,13,47
Cucumber,13,81,9,1
Brinjal,10,80,1,5
Tomato,22,61,7,1
Cucumber,12,92,6,2
Potato,14,41,17,34
Onion,15,66,5,34
Spinach,4,99,5,10
Onion,30,69,18,1
Spinach,3,100,17,1
Cucumber,19,92,6,2
Spinach,4,97,15,1
Cabbage,6,85,15,4
Onion,26,44,16,22
Potato,15,61,15,25
Tomato,29,60,3,1
Spinach,3,90,6,3
Onion,21,65,1,25
Tomato,25,56,7,1
Spinach,1,98,13,1
Carrot,8,91,20,40
Carrot,0,88,10,17
Carrot,10,93,2,29
Capsicum,7,66,16,1
Cucumber,14,93,16,1
Cauliflower,2,89,18,8
Cucumber,11,89,2,10
Capsicum,9,74,9,7
Spinach,2,100,19,1
Cucumber,17,85,7,1
Spinach,2,91,10,5
Onion,19,46,1,18
Cabbage,5,95,16,27
Tomato,28,74,14,1
Cabbage,10,92,7,33
Potato,16,69,10,18
Capsicum,14,82,3,5
Potato,15,50,10,20
Cucumber,20,92,1,7
Carrot,7,86,11,46
Brinjal,25,64,7,4
Carrot,10,95,2,45
Potato,13,40,6,21
Spinach,4,90,6,9
Cabbage,0,87,20,1
Brinjal,23,67,19,1
Tomato,19,70,6,2
Cauliflower,8,95,5,22
Carrot,9,89,8,50
Carrot,8,92,1,45
Cabbage,0,90,7,13
Tomato,26,54,8,2
Potato,15,51,4,55
Potato,17,64,7,52
Potato,11,45,1,39
Spinach,4,98,6,1
Onion,21,41,6,21
Cucumber,17,91,3,9
Cucumber,18,94,17,1
Brinjal,16,67,18,1
Spinach,5,100,1,13
Brinjal,25,75,9,3
Brinjal,20,77,11,4
Cabbage,4,89,15,28
Cabbage,7,86,4,13
Brinjal,16,76,6,1
Potato,13,49,6,29
Tomato,19,75,18,1
Cucumber,14,87,8,1
Cabbage,1,94,6,36
Onion,19,55,7,3
Brinjal,12,66,16,1
Brinjal,15,75,9,1
Potato,19,54,20,18
Brinjal,15,68,5,7
Capsicum,11,81,11,1
Cauliflower,6,88,11,15
Cucumber,19,83,10,1
Onion,20,47,14,17
Carrot,2,93,9,33
Tomato,25,79,10,1
Spinach,2,97,20,1
Potato,15,54,1,54
Brinjal,20,73,3,7
Cauliflower,2,85,13,2
Potato,10,58,15,30
Cucumber,12,82,1,12
Cauliflower,5,90,17,3
Potato,11,52,13,37
Brinjal,21,62,9,1
Cauliflower,8,85,14,1
Cabbage,1,92,6,35
Brinjal,13,79,1,9
Cauliflower,5,86,19,2
Spinach,0,98,20,1
Cabbage,5,91,3,39
Carrot,10,88,17,27
Capsicum,14,73,17,1
Cauliflower,10,90,14,11
Carrot,2,92,4,27
Onion,23,67,20,10
Capsicum,20,65,14,6
Cauliflower,0,86,7,9
Cauliflower,0,94,7,3
Potato,19,58,14,30
Carrot,0,93,16,9
Cucumber,16,92,11,4
Cauliflower,10,92,20,2
Capsicum,17,72,9,1
Onion,17,54,10,13
Spinach,2,92,17,1
Tomato,19,50,14,1
Spinach,0,93,14,1
Tomato,20,51,19,1
Carrot,2,89,5,48
Tomato,17,77,18,1
Brinjal,20,65,5,7
Potato,10,45,8,25
Brinjal,22,73,6,1
Brinjal,22,66,18,1
Capsicum,8,68,7,1
Cabbage,5,90,17,31
Carrot,5,87,3,48
Cabbage,10,91,15,11
Carrot,8,92,17,10
Tomato,18,79,5,5
Cauliflower,8,86,4,23
Brinjal,19,77,9,1
Potato,12,59,6,23
Carrot,0,91,10,45
Capsicum,20,80,5,11
Cucumber,15,82,2,4
Cauliflower,4,87,6,14
Onion,16,64,10,24
Potato,10,53,15,12
Cucumber,10,95,4,10
Tomato,22,54,20,1
Capsicum,11,80,5,12
Carrot,3,85,15,44
Tomato,26,64,18,1
Onion,24,67,17,12
Tomato,15,77,1,3
Cauliflower,2,93,5,5
Tomato,22,52,16,1
Onion,27,69,9,11
Tomato,18,65,10,1
Onion,25,43,14,2
Onion,27,68,7,4
Potato,12,70,6,15
Onion,23,59,13,11
